id	q1a	q1b	q1c	q1d	q1e	q1f	q2a	q2b	q2c	q2d	q2e	q2f	q2g	q2h	q3a	q3b	q3c	q3d	q3e	q3f	q3g	q3h	q3i	q3j	ika	sukup	pituus	kenka	kasi	koneon	kone	opalku	kurssit	osa1h	toita	optyo	tahti	tyovko
143	2	1	1	2	1	1	3	4	3	5	3	3	5	3	2	3	3	1	3	4	2	3	1	2	20	M	181	46	O	E	NA	14	5	8	E	NA	NA	NA
144	2	1	1	1	1	1	3	5	5	4	5	2	4	4	2	4	4	4	4	5	1	5	2	5	23	N	167	38	O	O	M	10	4	3	T	H	N	4
145	4	1	1	1	3	1	4	2	1	4	3	5	5	4	2	5	5	2	5	3	3	2	2	5	35	M	191	46	O	O	M	2	6	4	T	S	N	37.5
146	3	1	2	1	1	1	2	4	4	5	5	3	4	5	2	5	4	4	4	5	3	1	4	4	24	N	171	39	O	O	W	14	5	8	E	NA	NA	NA
147	2	1	1	1	1	2	5	4	4	5	5	2	2	5	2	3	2	2	2	4	1	5	1	3	19	M	182	44	O	O	W	14	4	2-4	E	NA	NA	NA
148	3	2	3	2	1	2	3	5	4	4	5	2	5	5	4	5	5	4	5	2	4	1	5	4	22	N	171	38	O	O	W	14	4	5	T	T	S	NA
149	3	2	2	1	1	1	5	5	4	4	5	3	4	4	1	5	4	4	4	3	3	3	4	5	19	N	157	36	O	O	M	14	3	8	E	H	NA	NA
150	4	1	3	2	1	2	5	3	3	5	5	2	3	2	1	3	3	1	2	5	2	4	1	3	19	M	193	45	O	O	W	14	5	tm	E	H	NA	NA
151	5	2	NA	1	1	2	4	4	4	5	5	2	4	5	3	4	3	4	3	4	2	3	2	4	20	N	161	37	O	O	M	13	2	0-2	T	S	N	>40
152	2	2	2	1	1	2	3	4	3	3	4	3	5	1	2	4	5	4	5	3	4	2	3	4	32	N	172	39	V	O	W	1	7	2	E	NA	NA	NA
153	3	1	2	1	1	2	4	5	4	4	4	3	4	3	2	4	4	2	4	5	1	5	2	4	20	N	162	37	O	O	W	14	6	3-6	T	H	N	12
154	3	1	1	1	1	1	3	5	3	5	5	4	5	2	2	5	5	3	5	3	3	4	2	5	32	N	171	40	O	O	M	4	4	8	E	S	NA	NA
155	4	2	2	1	1	1	4	4	4	3	4	2	4	4	4	5	4	4	4	3	3	3	4	5	21	N	159	36	O	O	W	14	5	5	T	S	S	7
156	4	2	2	2	1	1	4	4	3	3	4	2	4	3	1	5	4	1	4	5	3	3	1	3	26	M	183	42	V	O	W	9	2	3	T	S	N	20
157	3	4	2	1	1	1	4	5	4	5	5	5	5	4	3	5	5	5	5	2	4	1	3	5	50	M	177	42	O	O	M	95	1	6	T	S	N	40
158	4	1	3	2	1	1	1	5	3	3	3	4	4	4	3	5	4	2	4	5	3	4	2	5	25	M	165	41	V	O	M	12	4	5	T	H	N	15-20
159	3	1	1	1	1	2	2	2	2	3	4	2	5	5	3	5	5	2	4	2	3	1	2	5	23	M	172	42	O	O	W	14	3	7	T	T	N	16
160	2	1	1	1	1	1	4	5	4	4	4	3	4	4	2	4	4	4	4	4	2	3	2	4	19	N	172	39	O	O	W	14	5	NA	E	NA	NA	NA
